Bauwerks-Nr.:;Bauwerksname:;Ort:;Teilbauwerks-Nr.:;Teilbauwerksname:;Bauwersart:;Bauwerkskonstruktion:;Baujahr:;Fäche:               [m²];Anderes Bauwerk nach DIN 1076:
B021d;Sebastianusweg II;Brand;;Durchlass / Abzweig Freunder Heideweg;Rechteckdurchlass;Einfeld-Stahlbeton-Rahmen;;21;Ja
B022;Berliner Ring;Aachen;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;1961;297;Nein
B023;Nirmer Weg I;Haaren;1;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;2016;92;Nein
B024;Haarbachtalstraße;Haaren;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;1966;157;Nein
B025;Akazienstraße;Haaren;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;1965;84;Nein
B026d;Friesenrather Weg nach Kitzhaus;Walheim;;Durchlass;Rohrdurchlass;Beton-Verrohrung;;9;Ja
B027d;Bierstrauch I / Durchlass am Holzbach;Aachen - Brand;;Durchlass am Holzbach;Rechteckdurchlass;Fertigteilrahmen;2016;14;Ja
B028d;Forster Weg;Burtscheid;;Durchlass;Sonstiger Durchlassquerschnitt;Einfeld-Ziegelstein-Gewölbe;;57;Ja
B029;Friesenrather Weg;Friesenrath;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;;37;Nein
B030-G;Friedhof Friesenrath;Friesenrath;;Brücke;Plattenbrücke;Einfeld-Stahlbeton-Platte;1955;19;Nein
B031;Pannekogweg;Friesenrath;;Brücke;Brücke mit balkenartigem oder plattenartigem Tragwerk;Einfeld-Walzträger in Beton;;32;Nein
B032-I;Steinbruch Freizeit;Walheim;;Brücke;Rohr als Brücke, ohne Ummantelung;Wellstahlrohr Hamco Profil WA 1;2010;40;Nein
B033-I;Im Kalksteinbruch;Walheim;;Brücke;Plattenbalkenbrücke, Trägerrostbrücke;Einfeld-Stahlverbund;;19;Nein
